Shoulder_Angle,Elbow_Angle,Hip_Angle,Knee_Angle,Ankle_Angle,Shoulder_Ground_Angle,Elbow_Ground_Angle,Hip_Ground_Angle,Knee_Ground_Angle,Ankle_Ground_Angle,Side_is_left,Label
168.091651072127,134.494541010534,151.62182535808927,165.2997153575699,31.2212803786251,90.0,90.0,90.0,90.0,90.0,1,Push Ups
0.4077924860513964,69.72183378889278,141.66767469394358,133.42304983507708,161.506513770844,90.0,90.0,90.0,90.0,90.0,1,Squats
12.798000373645936,28.18531742742544,178.611205816488,175.81991219881482,176.00974744231377,90.0,90.0,-90.0,-90.0,-90.0,1,Russian twists
53.42370816335572,131.48913324418675,174.51589865498843,179.7033530387974,92.88873472497689,90.0,90.0,90.0,90.0,90.0,1,Push Ups
19.798607274466924,6.893098511464975,14.43674852314146,13.954121937067,175.2513597076168,90.0,90.0,90.0,90.0,90.0,1,Russian twists
126.9224213348153,70.08468724598755,174.97442451333217,19.918481582644866,7.845966794212542,90.0,90.0,90.0,90.0,90.0,1,Push Ups
165.06792062669476,170.0611963849107,178.7621339770131,178.06441245548106,178.55085092647698,90.0,90.0,90.0,-90.0,-90.0,1,Pull ups
48.507275566254826,144.9159785263949,160.53061001115984,138.80125310827697,146.17152643295668,90.0,90.0,90.0,90.0,90.0,1,Push Ups
152.69335837294224,159.1518608191941,171.0173706297986,178.31436491163063,176.7072564304537,90.0,90.0,90.0,90.0,90.0,1,Pull ups
19.977162712107216,70.4775278835092,46.89897932505566,89.98627016676893,129.66018074275763,90.0,90.0,90.0,90.0,90.0,1,Russian twists
65.82712504274234,172.74719239944014,168.25829072835225,179.7828521996039,120.12488252343732,90.0,90.0,90.0,90.0,90.0,1,Push Ups
169.54777694144937,164.30821478162315,1.2349085643150206,20.642037516041896,156.88282634960112,90.0,90.0,-90.0,90.0,90.0,1,Pull ups
0.7141887085743932,125.04000003081524,33.21502686302726,21.86196531970573,159.90272650385768,90.0,90.0,90.0,90.0,90.0,1,Squats
63.53554122102243,171.37870336414036,163.96835037375897,158.73525146739283,108.133324171221,90.0,90.0,90.0,90.0,90.0,1,Push Ups
36.72694726797663,172.68277518914505,177.00576344956747,171.804703716416,177.61086272165207,90.0,90.0,90.0,90.0,90.0,1,Jumping Jacks
107.1922022788972,112.69612054911696,175.0287540135285,174.70065595996024,176.78823494372918,90.0,90.0,90.0,90.0,90.0,1,Pull ups
16.447168322796625,123.90561099592792,170.8875059280616,177.27341778729414,157.46966482164382,90.0,90.0,90.0,90.0,90.0,1,Push Ups
81.33908391771774,175.2347288252328,138.35488900934482,65.00025730870472,34.55555221246207,90.0,90.0,90.0,90.0,90.0,1,Push Ups
91.87290738004724,175.48586167438944,174.96222833831982,173.95462812873996,94.4014517503756,90.0,90.0,90.0,90.0,90.0,1,No Exercise
135.32265497333643,121.01102901895456,171.06669468798287,171.75062796603655,174.12550160244172,90.0,90.0,90.0,-90.0,-90.0,1,Pull ups
11.425952920056345,38.41565079912152,81.59379914652536,96.8559742849428,140.11590677869165,90.0,90.0,90.0,90.0,90.0,1,Russian twists
168.67668653252844,139.95838606187965,152.55699736679722,177.44281035426985,158.53314115666453,90.0,90.0,90.0,90.0,90.0,1,Jumping Jacks
93.54261732009604,176.29736484042576,176.27794299039618,173.55698847964456,93.96028784968588,90.0,90.0,90.0,90.0,90.0,1,No Exercise
2.501840773886276,65.3426814056111,39.42053439939804,64.28455695470167,144.90783680418525,90.0,90.0,90.0,90.0,90.0,1,Russian twists
88.9192449242427,177.48006374209214,171.41952394463885,170.2220072894732,94.27269214239308,90.0,90.0,90.0,90.0,90.0,1,No Exercise
116.4634152058274,89.80692076175721,161.03562530129804,52.73012185505935,10.614952749971106,90.0,90.0,90.0,90.0,90.0,1,Push Ups
66.34510536474009,155.63735531343866,174.21647137928042,173.4986655202478,99.3238818364174,90.0,90.0,90.0,90.0,90.0,1,Push Ups
151.98575130990696,45.21041776735949,17.190379744679817,132.93556775358812,16.798718760589022,90.0,90.0,90.0,90.0,90.0,1,Push Ups
32.38743764523342,118.84781960602928,163.5386950357306,109.93149119781472,14.960793065628309,90.0,90.0,90.0,90.0,90.0,1,Push Ups
12.18223956579903,176.85831771051545,176.7687031123189,177.42649170356387,176.68666529129976,90.0,90.0,90.0,90.0,90.0,1,Jumping Jacks
101.1892089088294,71.88164376518043,168.90628765343644,172.30410633254996,13.852909877775364,90.0,90.0,90.0,90.0,90.0,1,Push Ups
2.872787061587537,15.019463358108876,87.39880991372291,82.3995775617235,168.40645845627355,90.0,90.0,90.0,90.0,90.0,1,Squats
93.02458415229418,171.50926786071778,170.3684592195367,170.3010671688799,90.68179984151774,90.0,90.0,90.0,90.0,90.0,1,No Exercise
64.8243785114572,163.6935814462344,173.00291399006903,170.8853825565723,96.58230032298684,90.0,90.0,90.0,90.0,90.0,1,Push Ups
171.1798877427564,152.457536229726,166.4161990314666,176.20912438597398,165.63478005862515,90.0,90.0,90.0,90.0,90.0,1,Jumping Jacks
10.634690695191289,4.814846254784357,167.7388849367292,170.57692757981255,177.3000786286776,90.0,90.0,90.0,90.0,90.0,1,Squats
35.114243716403166,73.02855835527528,167.6416622852688,177.2837499686588,122.9186153763348,90.0,90.0,90.0,90.0,90.0,1,Push Ups
10.169359433689875,179.09432155340744,179.72337656021753,169.54118841430537,172.38805345051173,90.0,90.0,90.0,90.0,90.0,1,Jumping Jacks
22.36709992082148,3.473022982194346,22.549801965343168,41.51563984670463,157.09919599518625,90.0,90.0,90.0,90.0,90.0,1,Russian twists
164.19817971981306,151.24676374696605,159.6623270795712,177.19033460288114,166.2436978527491,90.0,90.0,90.0,90.0,90.0,1,Jumping Jacks
17.158896030334795,21.464279109787466,177.69539355578434,177.4747302827967,177.49170684438678,90.0,90.0,-90.0,-90.0,-90.0,1,Squats
18.946547741657124,177.6647769723116,172.64403180524738,169.54496701266913,166.11307247161463,90.0,90.0,90.0,90.0,90.0,1,Push Ups
86.2729333542047,172.34674030818036,171.35951170083985,170.77577706901164,86.53356427991108,90.0,90.0,90.0,90.0,90.0,1,No Exercise
46.71928628234166,161.27227048462962,175.81948147778272,161.8038893934473,102.65875594202656,90.0,90.0,90.0,90.0,90.0,1,Push Ups
29.500831672282608,157.0706997130774,163.35585814591843,151.80487226646804,114.75326616033568,90.0,90.0,90.0,90.0,90.0,1,Push Ups
27.69148802844528,150.26741860671933,175.9735392731515,179.0677833461952,178.80640912030904,90.0,90.0,90.0,90.0,90.0,1,Jumping Jacks
140.8196529389382,153.5939500936639,159.21745041535024,178.51943761531518,162.2077471348259,90.0,90.0,90.0,90.0,90.0,1,Jumping Jacks
14.246343353633012,121.44336935543969,155.21139243422488,150.60039765961773,107.9118890473091,90.0,90.0,90.0,90.0,90.0,1,Push Ups
92.4398104042608,174.36576370822175,177.5958032979791,176.33868852723512,86.89855880212802,90.0,90.0,90.0,90.0,90.0,1,No Exercise
98.02208149461772,177.452863915814,174.6673456390996,171.3271642183249,86.731847879014,90.0,90.0,90.0,90.0,90.0,1,No Exercise
159.5884537067864,130.8432427196134,25.564077417923613,169.8779269726142,177.8716439012718,90.0,90.0,90.0,90.0,90.0,1,Push Ups
